Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.4404,Sun Sep 09 15:06:02 +0000 2018,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",❤️ An unlikely friendship that will melt your heart. https://t.co/DVpVhIssTc,25
0.2732,Sun Sep 09 14:35:05 +0000 2018,0.89,0.0,0.11,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎶🎤How well do you know your 90s boy bands and girl groups? Test your knowledge ➡️

https://t.co/5FhHCSMkf0 https://t.co/rd3tkjSJoM",26
-0.4215,Sun Sep 09 13:04:06 +0000 2018,0.859,0.141,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","There are 15 methods of contraception available on the NHS, but no contraceptive is 100% reliable.
👉… https://t.co/pmVBULg4Vx",27
0.6114,Sun Sep 09 12:07:02 +0000 2018,0.8,0.0,0.2,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcgetinspired: Sir Mo Farah wins the #GreatNorthRun for the fifth consecutive year!

Live: https://t.co/fiyzhsUDpF
#GreatNorthRun http…",28
0.0,Sun Sep 09 12:03:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Can you guess the secret ingredient that magically turns into #vegan mayo? https://t.co/d8oB0dlkWR,29
0.1531,Sun Sep 09 11:07:06 +0000 2018,0.849,0.0,0.151,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Yeah, but where are you REALLY from?
(via @BBCThree) https://t.co/EL59Zgnjxz",30
0.0,Sun Sep 09 10:12:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcgetinspired: Simply incredible scenes at the #GreatNorthRun. 🙌 #GetInspired https://t.co/O3m5XnhJKB,31
0.0,Sun Sep 09 09:04:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The UK plans to end coal-fired electricity by 2025. 
But what happens to the massive plants left behind?
👉… https://t.co/D75CRYZ02P",32
0.6808,Sun Sep 09 08:37:40 +0000 2018,0.649,0.101,0.25,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BBCSport: Naomi Osaka defeated her childhood idol Serena Williams to win the #USOpen 

Former Wimbledon champion Pat Cash said it was ""…",33
0.3612,Sun Sep 09 08:03:04 +0000 2018,0.815,0.0,0.185,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",👀 What life looks like under the sea around the UK coast. https://t.co/5p2rPVu0mR,34
0.7269,Sun Sep 09 07:37:03 +0000 2018,0.736,0.0,0.264,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎶 🎼It was classical music's biggest party, with a fabulous lineup of performers and pieces. 


Take a look at the b… https://t.co/3VnH542n9M",35
-0.5423,Sat Sep 08 18:59:03 +0000 2018,0.844,0.156,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A stylish action crime drama starring Ryan Gosling set in Los Angeles about a driver who works for the Hollywood ci… https://t.co/16YFaxn1yu,36
-0.2247,Sat Sep 08 18:09:00 +0000 2018,0.613,0.387,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🙈 So. Awkward.
#Extras https://t.co/NAo9RqbsaT",37
0.5106,Sat Sep 08 17:05:03 +0000 2018,0.809,0.0,0.191,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Gin and tonic are a match made in heaven. 
So, how did they come together? https://t.co/iZ9D1eOYGX",38
0.0,Sat Sep 08 16:05:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎶The @bbcproms 2018 season comes to a close with the BBC Symphony Orchestra live from the @RoyalAlbertHall. 

Last… https://t.co/wbZ7pNgdAY",39
-0.5859,Sat Sep 08 15:06:04 +0000 2018,0.703,0.297,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",☠️ Sunscreen could be poisoning the world's coral reefs. https://t.co/NQBRu1YWI6,40
